player_positions
RW, ST, CF
CAM, LM, LW
CAM, LM, RM
RW, RWB
CF, LW, RW
RB, RW
CAM, CM, CDM
CDM, CM, CB
RM, LM, CM
RM, RWB, RB
LB, CB
ST, RM
LM, CM
CM, CAM, RM
RM, LM
CM, CF
CM, CDM, RM
RM, RW, CAM
ST, LW, CAM
CAM, ST, CF
RWB, RB, LB
LW, CM
LM, ST, CAM
ST, LM, RM
RB, RM, RWB
CAM, ST, LM
CM, RM, CDM
CDM, CB, LB
CF, RW
LM, CM, RM
CB, CM
LW, RW, CF
CDM, CM, LM
CDM, CAM, CM
CAM, CM, LM
RWB, RM, RB
LW, LM, CM
RWB, RW
CAM, RM, LW
ST, CAM, CF
CM, CDM, LM
RM, RWB
LB, CB, LM
CF, CM
LW, LM, ST
LW, ST, RW
LM, RB, LB
LB, RB
ST, RW, RM
LWB, LW
LB, LWB, LM
ST, CF, CAM
CAM, RM, CM
CM, RM, CAM
RB, CDM
CM, CAM, LW
RM, LM, ST
RM, ST, LM
CM, LW
LB, CM
LM, ST, RM
CM, LM, CAM
CB, RB, RM
RWB
CAM, RM, LM
LWB, LB, LM
LM, RM, RB
LW, RW, ST
CAM, CDM
LW, CF, ST
CDM, CM, LB
CF, ST, LM
RM, LWB
ST, LW, LM
RM, CM, CAM
CM, CDM, RB
CF, ST, RW
LM, RM, CAM
RW, RB, RM
CF, CAM, LW
RB, LB, CB
LB, LM, RB
CDM, LB
RW, LW, LM
RM, ST, CAM
LB, RB, CB
LB, LM, CAM
CDM, RWB
RB, RWB, RM
CF, ST, LW
LM, RM, RW
RB, LB, RM
RB, RM, LB
CAM, LM, CM
RWB, RB, LWB
ST, LM, LW
ST, LM, CAM
LM, RM, ST
LM, LW, LB
CAM, CF, RW
CF, LM, CAM
RM, ST, RW
RM, LM, RWB
CM, RW, CAM
CAM, LM
LM, LWB, RW
LW, LM, CAM
CAM, RW, RM
CM, RM
CM, CDM, CB
LM, CM, CAM
LM, LW, CAM
LWB, RM, LB
CB, RB, LB
RM, RW, LM
RW, LWB, LW
RB, CB, CDM
LW, LM, CF
LW, RW, RM
CM, RW, LW
CF, CAM, RW
CF, LW, ST
CAM, RW, ST
LM, LB, RB
LWB, LM
RM, LB, RB
CAM, CF, CM
LW, ST, LM
CM, CDM, LW
CF, LW
LW, CF, LM
LM, CM, LB
RW, LW, CF
RM, RW, CF
ST, LM, RW
RM, CAM, LM
CAM, ST, LW
CB, CDM, CM
ST, RM, CAM
ST, CAM, LM
RM, RW, CM
CDM, CM, RM
CB, RB, CDM
CM, CB
RM, CAM, ST
LWB, CM
ST, RM, LW
LB, RB, RWB
RB, RW, LB
RM, RWB, CAM
RM, RB, LB
LM, CAM, CM
LB, LM, CB
CAM, LM, ST
CF, CAM, CM
RM, LM, LB
CDM, RM, RB
RW, RM, LW
CAM, LM, LB
CAM, RW, LW
LW, RM, RW
ST, CM, CAM
CDM, CAM
LWB, LM, LB
ST, RM, RW
ST, CF, LM
LM, CF, ST
CAM, ST, RM
CDM, RB, RM
CM, LB
LB, LWB, CB
RM, CF, LM
LW, LM, LB
RB, RWB, CB
RM, LW
CM, LWB
RB, LB, RWB
LW, CAM, CF
LM, CF, RM
LB, CM, RB
CM, CAM, ST
RW, LB
ST, RW, CAM
LB, RB, RM
CAM, CDM, CM
RM, CM, RB
LM, RM, CM
RW, CF
RW, RM, CAM
LW, CF, RW
RW, ST, CAM
RB, CM, RM
RW, CAM, LW
RB, RWB, LB
LM, CAM, LB
CAM, LW, RW
RB, CB, LB
ST, CAM, RM
CM, RM, RW
CM, CB, CDM
CM, RM, RWB
CM, LW, LM
RW, ST, RM
RM, RW, LW
LM, RWB, RM
LB, CDM
LWB, CB
CM, LB, LM
LB, LM, LW
LM, ST, LW
CM, CDM, LB
CAM, RM, RB
CB, LB, CDM
RW, RB
CF, CAM, LM
RW, LM, LW
RW, CM
LM, LB, LW
CB, CDM, RB
RW, CAM, RM
CB, RWB
RW, CM, CAM
RB, RM, LM
RM, LM, RB
LM, ST, CF
ST, LM, RB
RW, LWB, RM
LB, RB, CDM
LM, LW, RW
RW, LW, ST
RM, CM, ST
LWB, LM, RM
ST, CAM, CM
LW, RWB, LWB
RM, LW, CAM
RM, CAM, RB
LM, CAM, LW
RM, LW, RW
LB, RB, LM
LB, LW, LM
CM, LM, ST
RW, LW, RWB
LB, LW, RW
LM, RW
CAM, LM, CF
CM, RW
CAM, ST, CM
CB, LWB
RWB, RM, LWB
RB, CM, RWB
CM, LW, ST
ST, CAM, LW
CB, RB, CM
RM, CAM, CF
CB, LB, LWB
CAM, ST, RW
RB, CM, CAM
CM, RM, RB
LM, ST, LB
LWB, LM, CM
LM, CAM, ST
LM, ST, CM
CAM, RB
LM, CM, CDM
CF, ST, RM
LWB, LM, RB
RB, LM, LB
RW, RM, ST
LM, LW, CF
RB, RWB, RW
RM, RB, RWB
CM, CAM, CF
CAM, CF, RM
RM, CM, LM
LB, RB, LWB
LW, ST, CAM
LB, LWB, RB
CM, RB
CDM, RB, CM
LB, CM, LW
LM, LWB, LB
LM, RW, RM
ST, LW, CF
CF, RM, RW
RB, RM, CB
LB, CM, LM
RM, CF, CAM
LM, LB, LWB
CM, CF, CAM
RM, RB, LM
CM, RW, ST
LM, RM, LB
CF, ST, CM
CDM, RB, CB
LM, CM, RW
ST, CF, RW
CM, CAM, RW
LB, CAM
RW, CF, LW
CB, CM, CDM
LW, LM, RM
LB, LW
LM, ST, RW
CDM, LM, CM
CAM, RW, CM
RB, CB, RM
CB, RWB, RB
LW, LB
RM, RWB, ST
RB, LB, CM
CB, CAM
LM, RB, RWB
LW, CAM, LM
LB, RM
LW, CAM, ST
RB, CDM, RM
LM, CAM, CDM
ST, RM, RWB
RWB, RB, CB
RWB, CDM
CDM, CM, RWB
RM, CM, CDM
CF, CM, LM
CB, ST, CAM
RM, CF, ST
CM, CB, CAM
LWB, RWB
RM, CDM, LM
CDM, RB, LB
RM, LM, LW
LB, CB, RB
RWB, CM
CDM, RM, CM
ST, CM
LM, LB, RM
RM, RW, RB
LW, RM, CM
CF, RM, CM
CDM, LB, CM
RM, RWB, LM
ST, CM, RB
CF, RM, RWB
CF, RM
CAM, CM, RW
CM, CB, RB
RB, RM, CDM
LB, CDM, CB
RB, CM, LB
RM, RB, RW
CDM, CB, RB
RW, CF, CAM
RM, LW, ST
RM, RB, CAM
RB, RM, CAM
CDM, RM
RB, LB, LWB
RM, CF, RB
RW, RM, LM
LM, LB, CDM
LB, RB, CM
CM, LM, RB
LWB, LB, CB
LM, RM, LWB
LM, RB, CB
RM, LM, CDM
CB, RM, RB
RB, CM, CB
LM, CDM, RM
LM, LWB, CB
ST, RW, LM
LB, CB, CDM
RWB, LWB
CB, RB, ST
LB, LWB, CDM
RW, LM
ST, LW, LWB
RM, LM, LWB
RM, ST, CF
CM, CF, ST
RB, RWB, CM
ST, RB, RM
CB, ST
RWB, CM, RM
CM, RM, LW
CM, ST
RB, RWB, CDM
CM, CAM, LB
CM, ST, CDM
CM, RB, RM
CB, RWB, RM
CF, LM, RM
RW, LW, RB
RW, CAM, LM
CDM, CAM, LM
ST, LM, CF
LM, RM, CB
LB, CM, ST
RB, RWB, LWB
CAM, RWB, CM
CF, LM
RB, LB, CDM
LB, RB, RW
RB, ST, LM
CM, RB, LM
LB, CDM, LM
RM, CDM
RW, RB, LB
LW, CAM, RM
ST, LW, CM
CM, LM, LW
RM, LB, CM
LM, LWB, ST
CDM, CB, RM
ST, CB, CDM
CB, RW
CM, CDM, ST
LW, LB, LM
RW, LM, ST
ST, CB
ST, RW, CF
LB, LM, CM
RB, LM
CM, RWB
CAM, CDM, LM
ST, CB, RB
LM, RB
ST, RWB
RWB, CAM
LM, LWB, RM
LM, CM, LW
CB, CAM, CM
RB, CAM
LM, LW, CM
GK, RB
ST, RB
RB, RM, ST
CDM, LM
CAM, LB
ST, CF, RM
RWB, LM
LM, CDM
CDM, LB, CB
CF, RM, ST
RW, RB, LW
RB, LWB
LWB, LM, RWB
CDM, ST
CDM, RW, RB
LM, CF, CAM
CAM, CF, LM
RB, ST, CB
LW, RM, LM
RB, CB, ST
CAM, RW, CF
LM, LB, CF
RWB, ST
CB, CDM, RM
RB, CDM, LB
CB, LM
CAM, LW, CF
RM, LM, CB
LB, LWB, CM
RB, CM, CDM
CAM, LM, RW
LWB, LM, ST
LB, LW, CM
CB, RM
ST, LW, RM
CM, RW, RM
CM, LM, CB
RM, ST, CM
CM, CAM, RB
LM, LB, CB
RWB, RM, LM
CM, RWB, CDM
LB, LWB, LW
LW, LWB
